,country,year,sex,age,suicides_no,population,suiciderate,yearlygdp,gdp
0,Albania,1987,male,15-24 years,21,312900,6.71,2156624900,796
1,Albania,1987,male,35-54 years,16,308000,5.19,2156624900,796
2,Albania,1987,female,15-24 years,14,289700,4.83,2156624900,796
3,Albania,1987,male,75+ years,1,21800,4.59,2156624900,796
4,Albania,1987,male,25-34 years,9,274300,3.28,2156624900,796
5,Albania,1987,female,75+ years,1,35600,2.81,2156624900,796
6,Albania,1987,female,35-54 years,6,278800,2.15,2156624900,796
7,Albania,1987,female,25-34 years,4,257200,1.56,2156624900,796
8,Albania,1987,male,55-74 years,1,137500,0.73,2156624900,796
9,Albania,1987,female,5-14 years,0,311000,0.0,2156624900,796
10,Albania,1987,female,55-74 years,0,144600,0.0,2156624900,796
11,Albania,1987,male,5-14 years,0,338200,0.0,2156624900,796
12,Albania,1988,female,75+ years,2,36400,5.49,2126000000,769
13,Albania,1988,male,15-24 years,17,319200,5.33,2126000000,769
14,Albania,1988,male,75+ years,1,22300,4.48,2126000000,769
15,Albania,1988,male,35-54 years,14,314100,4.46,2126000000,769
16,Albania,1988,male,55-74 years,4,140200,2.85,2126000000,769
17,Albania,1988,female,15-24 years,8,295600,2.71,2126000000,769
18,Albania,1988,female,55-74 years,3,147500,2.03,2126000000,769
19,Albania,1988,female,25-34 years,5,262400,1.91,2126000000,769
20,Albania,1988,male,25-34 years,5,279900,1.79,2126000000,769
21,Albania,1988,female,35-54 years,4,284500,1.41,2126000000,769
22,Albania,1988,female,5-14 years,0,317200,0.0,2126000000,769
23,Albania,1988,male,5-14 years,0,345000,0.0,2126000000,769
24,Albania,1989,male,75+ years,2,22500,8.89,2335124988,833
25,Albania,1989,male,25-34 years,18,283600,6.35,2335124988,833
26,Albania,1989,male,35-54 years,15,318400,4.71,2335124988,833
27,Albania,1989,male,55-74 years,6,142100,4.22,2335124988,833
28,Albania,1989,male,15-24 years,12,323500,3.71,2335124988,833
29,Albania,1989,female,35-54 years,7,288600,2.43,2335124988,833
30,Albania,1989,female,15-24 years,5,299900,1.67,2335124988,833
31,Albania,1989,female,25-34 years,2,266300,0.75,2335124988,833
32,Albania,1989,female,55-74 years,1,149600,0.67,2335124988,833
33,Albania,1989,female,5-14 years,0,321900,0.0,2335124988,833
34,Albania,1989,female,75+ years,0,37000,0.0,2335124988,833
35,Albania,1989,male,5-14 years,0,349700,0.0,2335124988,833
36,Albania,1992,male,35-54 years,12,343800,3.49,709452584,251
37,Albania,1992,male,15-24 years,9,263700,3.41,709452584,251
38,Albania,1992,male,55-74 years,5,159500,3.13,709452584,251
39,Albania,1992,male,25-34 years,7,245500,2.85,709452584,251
40,Albania,1992,female,15-24 years,7,292400,2.39,709452584,251
41,Albania,1992,female,25-34 years,4,267400,1.5,709452584,251
42,Albania,1992,female,35-54 years,2,323100,0.62,709452584,251
43,Albania,1992,female,55-74 years,1,164900,0.61,709452584,251
44,Albania,1992,female,5-14 years,0,336700,0.0,709452584,251
45,Albania,1992,female,75+ years,0,38700,0.0,709452584,251
46,Albania,1992,male,5-14 years,0,362900,0.0,709452584,251
47,Albania,1992,male,75+ years,0,23900,0.0,709452584,251
48,Albania,1993,male,15-24 years,18,243300,7.4,1228071038,437
49,Albania,1993,male,55-74 years,7,165000,4.24,1228071038,437
50,Albania,1993,male,75+ years,1,24200,4.13,1228071038,437
51,Albania,1993,male,25-34 years,9,230100,3.91,1228071038,437
52,Albania,1993,female,15-24 years,10,285300,3.51,1228071038,437
53,Albania,1993,male,35-54 years,10,350300,2.85,1228071038,437
54,Albania,1993,female,25-34 years,7,261800,2.67,1228071038,437
55,Albania,1993,female,35-54 years,7,331200,2.11,1228071038,437
56,Albania,1993,female,55-74 years,2,169500,1.18,1228071038,437
57,Albania,1993,female,5-14 years,1,340300,0.29,1228071038,437
58,Albania,1993,male,5-14 years,1,367000,0.27,1228071038,437
59,Albania,1993,female,75+ years,0,39300,0.0,1228071038,437
60,Albania,1994,male,75+ years,2,24600,8.13,1985673798,697
61,Albania,1994,male,55-74 years,11,171400,6.42,1985673798,697
62,Albania,1994,female,75+ years,2,39900,5.01,1985673798,697
63,Albania,1994,male,25-34 years,6,231400,2.59,1985673798,697
64,Albania,1994,male,35-54 years,9,362800,2.48,1985673798,697
65,Albania,1994,male,15-24 years,6,242200,2.48,1985673798,697
66,Albania,1994,female,15-24 years,6,282600,2.12,1985673798,697
67,Albania,1994,female,25-34 years,4,261100,1.53,1985673798,697
68,Albania,1994,female,35-54 years,2,342500,0.58,1985673798,697
69,Albania,1994,female,55-74 years,1,174600,0.57,1985673798,697
70,Albania,1994,male,5-14 years,1,371800,0.27,1985673798,697
